,type,X,Y,azi,osm_id,highway,length,edge_id,node_id,b2s_ratio,pct_building,pct_greenness,pct_road,pct_sidewalk,pct_sky
1,start,139.7779004,35.6883903,-28.64269358,49680676,unclassified,32.51877571,1,1,1.00,0.46,0.01,0.39,0.03,0.08
2,mid1,139.7778275,35.68852399,-28.59200807,49680676,unclassified,32.51877571,1,2,1.00,0.49,0.01,0.36,0.05,0.08
3,mid2,139.7778275,35.68852399,151.4079919,49680676,unclassified,32.51877571,1,3,1.00,0.54,0.00,0.40,0.04,0.00
4,end,139.7777546,35.6886577,151.4079919,49680676,unclassified,32.51877571,1,4,1.00,0.55,0.02,0.31,0.06,0.04
5,start,139.7777546,35.6886577,-24.45674402,49680676,unclassified,30.44097654,2,5,1.00,0.48,0.00,0.37,0.06,0.08
6,mid1,139.7776962,35.6887861,-24.456744,49680676,unclassified,30.44097654,2,6,1.00,0.41,0.10,0.24,0.09,0.07
7,mid2,139.7776962,35.6887861,155.543256,49680676,unclassified,30.44097654,2,7,1.00,0.49,0.03,0.30,0.09,0.06
8,end,139.7776378,35.6889145,155.5401474,49680676,unclassified,30.44097654,2,8,1.00,0.50,0.01,0.37,0.05,0.07
9,start,139.7776378,35.6889145,-19.57817184,49680676,unclassified,124.3993778,3,9,1.00,0.51,0.00,0.40,0.02,0.06
10,mid1,139.777427,35.68945414,-25.77705211,49680676,unclassified,124.3993778,3,10,1.00,0.50,0.04,0.32,0.06,0.08
11,mid2,139.777427,35.68945414,154.2229479,49680676,unclassified,124.3993778,3,11,1.00,0.46,0.02,0.38,0.05,0.07
12,end,139.777148,35.6899343,100.255528,49680676,unclassified,124.3993778,3,12,1.00,0.52,0.00,0.36,0.05,0.04
13,start,139.7793238,35.6888523,-107.6868049,90795012,unclassified,39.40142833,4,13,1.00,0.49,0.01,0.36,0.04,0.08
14,mid1,139.7791208,35.68878755,-107.6868049,90795012,unclassified,39.40142833,4,14,1.00,0.49,0.00,0.38,0.04,0.07
15,mid2,139.7791208,35.68878755,72.3131951,90795012,unclassified,39.40142833,4,15,1.00,0.48,0.01,0.39,0.02,0.05
16,end,139.7789177,35.6887228,72.31319512,90795012,unclassified,39.40142833,4,16,1.00,0.50,0.00,0.39,0.04,0.07
17,start,139.7789177,35.6887228,-107.9666636,90795012,unclassified,44.02268533,5,17,1.00,0.49,0.02,0.37,0.03,0.06
18,mid1,139.7786914,35.6886494,-107.9666636,90795012,unclassified,44.02268533,5,18,1.00,0.53,0.01,0.37,0.05,0.05
19,mid2,139.7786914,35.6886494,72.0333364,90795012,unclassified,44.02268533,5,19,1.00,0.45,0.04,0.35,0.07,0.07
